,ID,reason,text,topic
97,106,previous topic with one element,"On helping people understand the value of experimental research: I've been thinking a lot about the push back that MR_WHITE and I got in designing a useful intervention. Today again I was talking to someone who has the opportunity to learn about a program's effectiveness, but instead is waving their hands talking nonsense. Has anyone seen a good attempt at explaining the value of experimental research to a non-technical audience?",topic-14
98,107,no similarity nor grammatically a reply,"<@U16RAECF5>: Unfortunately, no. I looked for something like this when I was reviewing a proposal for the National Opinion Research Center but couldn’t find anything like it. The proposed intervention was sooooooooooooooooo bad.",topic-15
99,108,same author,"<@U16RAECF5>: Also, I’m working out responses to your emails. One of them is almost perfectly in line with something that I just spoke with Matt Golder about earlier today. It was like you read my mind. Spooky.",topic-15
100,109,same author,:grinning:,topic-15
101,110,cosine 0.844639443897,squad! anyone interested in sharing a room in Philly?,topic-15
102,111,same author,"<@U16RAECF5>: Just got your voicemail, I was in a faculty meeting. Holler at me if you’re otherwise undisposed.",topic-15
103,112,same author,"This study is that _straight_ dope. But I want a <@U16TY5M6F> viewpoint on their model. In particular, they’re interpreting their item difficulty parameters in a _really_ literal sense (literally the probability that a traffic stop will occur). I’d love to read closely and talk with anyone who has also read it closely, though I know that you are all probably at APSA right now.",topic-15
104,113,same author,<https://5harad.com/papers/threshold-test.pdf>,topic-15
105,114,same author,Here’s the git repo to their work.,topic-15
106,115,cosine 0.879005715885,<https://github.com/5harad/threshold-test>,topic-15
107,116,same author,holy crap. this shit is good. I'd also be really interested to hear Chris's take,topic-15
108,117,same author,"In particular, the core of their result hinges on a literal interpretation of the item-difficulty parameters that they estimate. I’m not deep enough into this type of model to know if that is warrented.",topic-15
109,118,same author,*warranted.,topic-15
110,119,same author,I’m bringing it to the central list... because those fools in <#C16S81202|bureaucrats> weren’t paying attention!,topic-15
111,120,same author,I’ve got a three way interaction that I’ve got to interpret -- two conditioning factors and a treatment -- and there is no way that that journal I’m sending this to (California Journal of Politics and Policy) is going to let me get away with that.,topic-15
112,121,cosine 0.892262837197,"So, I’ve got to simplify the presentation somehow. Here was my thought: just present treatment effects (that is the first-difference on the treatment factor), in a `2x3` table where the dimensions on the table are the conditioning factors (one which has two levels and one which has three levels).",topic-15
113,122,cosine 0.800982280125,"The models that go into these estimates are the following: ``` m1 = glm(yvar ~ treatment, family = “binomial”) # this is going to be in black m2 = glm(yvar ~ treatment * structural, family = “binomial”) # in grey column m3 = glm(yvar ~ treatment * realized, family = “binomial”) # in grey row m4 = glm(yvar ~ treatment * realized * structural, family = “binomial”) # internal cells ```",topic-15
114,124,cosine 0.892158256032,"<@U16RY7PR6> <@U16RLTH3N> <@U16S9N0LE> - so do we know of anyone who has data on the race of state leg.s? If not, how about the idea of using the facial recognition software tools we were looking at earlier to pull legislator race from publicly available pictures (FB profiles, pics on state web pages, etc.)?",topic-15
115,125,cosine 0.855603264804,<@U16RAECF5> We could perhaps do that. Why state leg.s? I wonder if Adam (<http://adamdynes.com/>) might have info on municipal officials from his survey.,topic-15
116,126,grammatically reply starter ok.,<@U16RY7PR6> unless I'm mistaken there is a very low cost follow-on paper to our state legislator experiment in which we determine whether the race of state legislators impacts response rates.,topic-15
117,127,grammatically upenn tag DT,"<@U16RAECF5> Gotcha. I would agree with that. I wonder what the state of the art is with name recognition software - since we already have the names of all the representatives. Or maybe we just MTurk the whole thing. We might be able to get urls for individual legislators from Sunlight Foundation. We could then ask MTurkers to load the pages and identify the representative’s race. Have each MTurker do each legislator at least once. Some back of the envelope calculations suggest that it would take around 250 hours to identify each one once this way. At 8 an hour, that is 2,000 plus Amazon fees. Of course, that is only for one coder.",topic-15
118,128,same author,ok. i'm going to look into bringing someone on who might take care of these tasks. will get back to the group when I hear.,topic-15
119,129,grammatically reply starter ok,"The name software is pretty good these days, but we can know (by querying @nk in the the other channel) where it is specifically. He was on the team at IBM that wrote some of the name \rightarrow ethnicity software that IBM uses.",topic-15
120,130,cosine 0.824238786976,Anyone have 2 minutes to talk about blocking and matching as a way to get at a heterogeneous treatment effect. I’m spinning my wheels now.,topic-15
121,131,same author,"OK - Jason S., new in Pol. Sci. at UGA, formerly at Berkeley, informs me that his facial recognition tool is ready to go, and could turn profile or other photos into an estimate of the race of state leg.s, and also a distance metric relative to a racial category. I think this would be a very straightforward, solid publication. I'll be meeting with him in a couple of weeks to talk through the specifics. In the meantime, if folks on the team could think about how we might get the photos together, that would be helpful.",topic-15
122,132,same author,"Here is something for the Congress, which we probably already knew existed? <https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=GPO&amp;browsePath=Congressional+Pictorial+Directory>",topic-15
123,134,cosine 0.856344419767,I’m asking my research librarian if he knows of other such resources. One possibility is the Congressional YellowBook.,topic-15
124,135,no similarity nor grammatically a reply,<@U16RAECF5>: You want to change our legal status to domestic partner so we can both apply at UT? That way one of us can get the spouse hire for the other?,topic-15
125,136,no similarity nor grammatically a reply,I do.,topic-15
126,137,no similarity nor grammatically a reply,"Ok. But I cook better than I wash dishes, just so we know what the trade-off is.",topic-15
127,138,grammatically reply starter ok,"IIA. Btw, I think we do know about the photobook bc. some hngers were doing a project. The win here would be to get race for state leg.s, bc. there is a really valuable observational part. We can wrap that into the secondary analysis of the experiment, and together with the data and the tool, we have a fucking phatty pub.",topic-15
128,139,no similarity nor grammatically a reply,"I’ll let you know what is out there when my librarian gets back with me. If Leadership Directories has put it together for us already, it would be _the_ dope.",topic-16
129,140,same author,(BTW: I don’t know what IIA is...),topic-16
130,141,same author,"Also, ask and you shall receive. I bring forth the data, or at least a demonstration that we can has the data.",topic-16
131,144,same author,"The question I continue to have is, what we’re pointing this variable at. We can’t assess electoral consequences of this unless we undertake the _bonkers_ task of finding a standardized picture of every candidate for office that lost.",topic-16
132,145,same author,That shit jus aint gonna happen.,topic-16
133,146,same author,"So, we’re left with a bunch of unobserved selection into office, then a classifier that tells us something that we might already know (since we have that data series from these Quorum folks), and ...",topic-16
134,147,grammatically reply starter ok.,"OK. first response, there is a kid at Berkely who has put something together: <http://www.christiandphillips.com/research-1/> From his website - ""...new data containing district and candidate demographic information for every state legislative general election from 1996-2015"". So we would be generating a competing data set, using a different approach. <@U16RLTH3N>, the answer to your question is very simple. This is an HTE that people care about. Period. That's what gets published in pol sci journals. If we don't do this follow up, somebody else will.",topic-16
135,148,cosine 0.846311968899,"Do we know how Christian sourced his data? Is there benefit to be had in a dataset (just as a dataset) that is produced in a different fashion, that covers 10% of an existing data set? To me, the data _qua_ data contribution here feels a little slender, especially if someone else already has it. _Adding_ the skin-tone based racial assessment makes it a bit more sexy, but I don’t think it overcomes the hurdle that this fellow has the drop on us.",topic-16
136,149,same author,"Having the data for our own purposes, to test the HTE, to me feels like a good justification. And I think you’re right that we should look at this either in this paper, or in a followup paper to this experiment.",topic-16
137,150,same author,"Does anybody have an in either at Pew or the NCSL? I wonder because they’ve published a _Stateline_ series, which at least has the ethnicity data that MR_BROWN and MR_ORANGE were thinking about. I’ve been warned that if I scrape the data from the group that I had posted about last week, that the group would shut down campus access and I would be persona non grata.",topic-16
138,151,same author,<@U16RY7PR6> and <@U16TY5M6F> I’ll be in A2 Monday October 3. Let me know if you’re available and we can work on some of this boondoggle in person again.,topic-16
139,152,cosine 0.852296893083,<@U16RLTH3N> I’m available all day except from 12-3. It’d be great to get together.,topic-16
140,153,cosine 0.843904926706,Woot! Maybe in the morning? I haven’t been on campus in Ann Arbor in a while...,topic-16
141,154,same author,Totally! Do you have a place to stay?,topic-16
142,155,no similarity nor grammatically a reply,<!channel>: One of my co-authors is building a topic classifier that is functioning on Slack data. I want to export this and give it to the student/co-author.,topic-16
143,156,no similarity nor grammatically a reply,Would this make you sad? Would this violate your rights? Would this give away trade secrets?,topic-16
